What do you think would be an appropriate percentage of your municipal tax bill to go towards these facilities and services?,,,
,,,
Respondents,Response Date,Responses,Tags
1054,Jun 22 2021 08:49 PM,5 percent,
1055,Jun 22 2021 08:45 PM,4.50%,
1056,Jun 22 2021 08:43 PM,2.50%,
1057,Jun 22 2021 08:41 PM,0,
1058,Jun 22 2021 08:40 PM,I'm on a fixed income and am maxed out on municipal and school taxes,
1059,Jun 22 2021 08:34 PM,3,
1060,Jun 22 2021 08:32 PM,3%,
1061,Jun 22 2021 08:21 PM,5 percent,
1062,Jun 22 2021 08:20 PM,three percent,
1063,Jun 22 2021 08:09 PM,Xxx,
1064,Jun 22 2021 07:44 PM,2.5 to 3 percent ,
1065,Jun 22 2021 07:42 PM,Not sure,
1066,Jun 22 2021 07:38 PM,Maybe 3 or 5,
1067,Jun 22 2021 07:30 PM,3%,
1068,Jun 22 2021 07:15 PM,3%,
1069,Jun 22 2021 07:09 PM,5,
1070,Jun 22 2021 07:08 PM,Not sure,
1071,Jun 22 2021 07:03 PM,?,
1072,Jun 22 2021 07:00 PM,Not sure,
1073,Jun 22 2021 06:54 PM,5.20%,
1074,Jun 22 2021 06:49 PM,2.5,
1075,Jun 22 2021 06:47 PM,3%,
1076,Jun 22 2021 06:39 PM,5,
1077,Jun 22 2021 06:32 PM,5-10%,
1078,Jun 22 2021 06:26 PM,I don’t know,
1079,Jun 22 2021 06:24 PM,5%,
1080,Jun 22 2021 06:17 PM,75,
1081,Jun 22 2021 06:17 PM,4%,
1082,Jun 22 2021 06:17 PM,3,
1083,Jun 22 2021 06:10 PM,Unsure ,
1084,Jun 22 2021 06:08 PM,5%,
1085,Jun 22 2021 06:00 PM,3,
1086,Jun 22 2021 05:58 PM,10%,
1087,Jun 22 2021 05:57 PM,at least 5%,
1088,Jun 22 2021 05:51 PM,2.2,
1089,Jun 22 2021 05:50 PM,Don't live there,
1090,Jun 22 2021 05:42 PM,2.20%,
1091,Jun 22 2021 05:40 PM,2.2,
1092,Jun 22 2021 05:36 PM,2,
1093,Jun 22 2021 05:29 PM,4%,
1094,Jun 22 2021 05:27 PM,5%,
1095,Jun 22 2021 05:24 PM,3%,
1096,Jun 22 2021 05:23 PM,NA,
1097,Jun 22 2021 05:22 PM,5%,
1098,Jun 22 2021 05:21 PM,5%,
1099,Jun 22 2021 05:20 PM,about what it is now or a little more,
1100,Jun 22 2021 05:19 PM,5,
1101,Jun 22 2021 05:18 PM,No opi ion,
1102,Jun 22 2021 05:17 PM,3.3,
1103,Jun 22 2021 05:16 PM,3.5,
1104,Jun 22 2021 05:11 PM,not sure,
1105,Jun 22 2021 05:11 PM,It depends on how it's going to be spent. To drive tourism or focus on the locals?,
1106,Jun 22 2021 05:07 PM,5%,
1107,Jun 22 2021 05:00 PM,2.20%,
1108,Jun 22 2021 04:58 PM,1%,
1109,Jun 22 2021 04:50 PM,Slightly higher?  Assuming it all doesn’t go to Hubbard park only. ,
1110,Jun 22 2021 04:48 PM,3%,
1111,Jun 22 2021 04:33 PM,4-5%,
1112,Jun 22 2021 04:32 PM,4%,
1113,Jun 22 2021 04:31 PM,5%,
1114,Jun 22 2021 04:28 PM,4%,
1115,Jun 22 2021 04:24 PM,Not sure,
1116,Jun 22 2021 04:21 PM,$60 ,
1117,Jun 22 2021 04:09 PM,5 percent,
1118,Jun 22 2021 03:49 PM,5 percent,
1119,Jun 22 2021 03:47 PM,3,
1120,Jun 22 2021 03:38 PM,10%  and add the pool as an asset.,
1121,Jun 22 2021 03:34 PM,15,
1122,Jun 22 2021 03:30 PM,3%,
1123,Jun 22 2021 03:20 PM,3%,
1124,Jun 22 2021 03:18 PM,3.5,
1125,Jun 22 2021 03:13 PM,2.5,
1126,Jun 22 2021 03:10 PM,2,
1127,Jun 22 2021 03:06 PM,2.50%,
1128,Jun 22 2021 03:05 PM,Same,
1129,Jun 22 2021 03:00 PM,Don't know,
1130,Jun 22 2021 02:55 PM,5%,
1131,Jun 22 2021 02:50 PM,Current percentage is fine,
1132,Jun 22 2021 02:27 PM,n/a,
1133,Jun 22 2021 02:27 PM,3,
1134,Jun 22 2021 02:25 PM,0,
1135,Jun 22 2021 02:23 PM,NA,
1136,Jun 22 2021 02:15 PM,5%,
1137,Jun 22 2021 02:06 PM,Double current,
1138,Jun 22 2021 02:04 PM,5%,
1139,Jun 22 2021 02:04 PM,1.5,
1140,Jun 22 2021 02:02 PM,3%,
1141,Jun 22 2021 02:01 PM,**,
1142,Jun 22 2021 01:59 PM,3%,
1143,Jun 22 2021 01:50 PM,Not sure,
1144,Jun 22 2021 01:41 PM,2.25%,
1145,Jun 22 2021 01:33 PM,2,
1146,Jun 22 2021 01:31 PM,10%,
1147,Jun 22 2021 01:18 PM,4%,
1148,Jun 22 2021 01:17 PM,3%,
1149,Jun 22 2021 01:05 PM,3.50%,
1150,Jun 22 2021 12:57 PM,N/A,
1151,Jun 22 2021 12:47 PM,Same as current,
1152,Jun 22 2021 12:46 PM,3 - 5%,
1153,Jun 22 2021 12:40 PM,5%,
1154,Jun 22 2021 12:32 PM,???,
1155,Jun 22 2021 12:28 PM,4,
1156,Jun 22 2021 12:14 PM,4%,
1157,Jun 22 2021 12:13 PM,??,
1158,Jun 22 2021 11:51 AM,2.2,
1159,Jun 22 2021 11:34 AM,3%,
1160,Jun 22 2021 11:31 AM,2.5,
1161,Jun 22 2021 11:28 AM,2.50%,
1162,Jun 22 2021 10:39 AM,Unknown,
1163,Jun 22 2021 10:37 AM,2.2-4%,
1164,Jun 22 2021 10:22 AM,2%,
1165,Jun 22 2021 09:57 AM,2.20%,
1166,Jun 22 2021 09:52 AM,Idk ,
